订单ID,客户ID,产品ID,日期,活动ID,数量,单价,总金额,利润,折扣率
O00000056,C999993809344,P029,2024-01-21,,1,340.58,340.58,163.9,0.0
O00000057,C999993809344,P007,2024-03-25,,1,490.87,490.87,182.39,0.0
O00000058,C999993809344,P031,2023-05-23,,1,654.69,654.69,236.21,0.0
O00000059,C999993809344,P025,2023-09-22,,1,440.43,440.43,158.67,0.0
O00000060,C999993809344,P010,2024-07-03,,1,63.78,63.78,22.16,0.0
O00000061,C999993809344,P050,2023-12-07,,1,709.04,709.04,268.98,0.0
O00000062,C999993809344,P049,2023-03-25,,2,652.99,1305.98,475.66,0.0
O00000063,C999993809344,P035,2024-01-10,M006,1,674.23,593.32,281.87,0.12
O00000064,C999993813328,P037,2024-01-11,M006,2,818.31,1440.23,535.43,0.12
O00000065,C999993813328,P039,2024-01-18,,1,236.13,236.13,97.18,0.0
O00000066,C999993813328,P026,2023-08-16,M003,1,198.29,178.46,89.7,0.1
O00000067,C999993813328,P041,2023-04-23,,1,303.55,303.55,93.75,0.0
O00000068,C999993813328,P028,2023-08-03,,2,219.35,438.7,211.11,0.0
O00000069,C999993813328,P003,2023-04-06,,1,683.39,683.39,284.74,0.0
O00000070,C999993813328,P020,2023-04-11,,1,75.37,75.37,35.66,0.0
O00000071,C999993813328,P015,2024-06-08,,1,164.7,164.7,66.4,0.0
O00000072,C999993813328,P026,2024-09-29,,1,231.13,231.13,99.99,0.0
O00000073,C999993813328,P040,2024-03-31,,1,116.54,116.54,50.67,0.0
O00000074,C999993813328,P046,2024-03-21,,1,215.11,215.11,83.33,0.0
O00000075,C999993813328,P025,2024-03-26,,1,356.88,356.88,171.4,0.0
O00000076,C999993841196,P023,2023-04-09,,1,191.96,191.96,63.11,0.0
O00000077,C999993841196,P036,2024-01-26,,1,49.85,49.85,19.32,0.0
O00000078,C999993841196,P026,2023-03-29,M001,1,196.22,166.79,62.72,0.15
O00000079,C999993841196,P016,2023-10-10,,1,508.44,508.44,250.31,0.0
O00000080,C999993841196,P026,2023-07-16,,1,198.49,198.49,74.69,0.0
O00000081,C999993841196,P004,2023-01-20,,1,326.36,326.36,137.01,0.0
O00000082,C999993828120,P049,2023-09-19,,2,570.87,1141.74,344.42,0.0
O00000083,C999993828120,P030,2023-03-14,M001,1,894.79,760.57,328.14,0.15
O00000084,C999993828120,P008,2023-03-10,M001,1,466.76,396.75,181.41,0.15
O00000085,C999993828120,P026,2023-08-23,,1,259.35,259.35,84.11,0.0
O00000086,C999993828120,P006,2023-11-10,M004,1,482.89,362.17,146.62,0.25
O00000087,C999993828120,P024,2023-11-29,,1,183.97,183.97,91.88,0.0
O00000088,C999993828120,P024,2024-05-04,,1,199.01,199.01,65.93,0.0
O00000089,C999993828120,P021,2023-07-23,,1,1223.91,1223.91,480.75,0.0
O00000090,C999993828120,P009,2023-08-23,,1,299.72,299.72,114.78,0.0
O00000091,C999993813395,P046,2024-05-25,,2,197.05,394.1,161.95,0.0
O00000092,C999993813395,P021,2023-08-27,,1,1311.24,1311.24,603.19,0.0
O00000093,C999993813395,P014,2023-02-05,,1,402.25,402.25,132.49,0.0
O00000094,C999993813395,P006,2023-07-20,,1,495.64,495.64,231.78,0.0
O00000095,C999993813395,P001,2023-06-26,,1,493.03,493.03,181.2,0.0
O00000096,C999993813395,P009,2024-04-11,,1,296.88,296.88,119.34,0.0
O00000097,C999993863426,P037,2023-04-25,,1,659.81,659.81,282.02,0.0
O00000098,C999993863426,P043,2023-06-01,M002,1,285.63,228.5,88.87,0.2
O00000099,C999993863426,P011,2023-07-11,,1,632.51,632.51,231.09,0.0
O00000100,C999993863426,P033,2024-06-12,,1,68.13,68.13,31.81,0.0
O00000101,C999993863426,P040,2023-05-25,,1,144.56,144.56,56.21,0.0
O00000102,C999993863426,P025,2024-03-28,,1,525.06,525.06,182.42,0.0
O00000103,C999993863426,P048,2023-05-05,,1,819.52,819.52,335.42,0.0
O00000104,C999993863426,P020,2024-08-13,,1,91.77,91.77,34.41,0.0
O00000105,C999993863426,P041,2023-01-30,,1,408.89,408.89,138.49,0.0
O00000106,C999993846739,P008,2023-05-24,,1,322.96,322.96,124.64,0.0
O00000107,C999993846739,P025,2023-12-27,,1,401.59,401.59,172.72,0.0
O00000108,C999993846739,P031,2024-03-29,,1,738.46,738.46,299.15,0.0
O00000109,C999993846739,P048,2023-12-21,,1,800.79,800.79,242.3,0.0
O00000110,C999993846739,P028,2024-04-19,,1,234.63,234.63,82.44,0.0
O00000111,C999993846739,P018,2024-01-11,M006,1,1292.2,1137.14,645.21,0.12
O00000112,C999993846717,P045,2023-03-28,M001,1,271.96,231.17,88.95,0.15
O00000113,C999993846717,P028,2024-06-13,,1,200.2,200.2,87.23,0.0
O00000114,C999993846717,P034,2024-08-02,,1,171.19,171.19,68.6,0.0
O00000115,C999993846717,P035,2024-07-10,,1,593.82,593.82,296.27,0.0
O00000116,C999993846717,P020,2023-09-06,,1,93.43,93.43,39.23,0.0
O00000117,C999993846717,P050,2023-05-07,,1,814.53,814.53,309.97,0.0
O00000118,C999993813408,P024,2023-06-26,,1,170.96,170.96,65.62,0.0
O00000119,C999993813408,P005,2023-01-21,,1,291.88,291.88,92.33,0.0
O00000120,C999993813408,P011,2024-07-02,,1,727.02,727.02,328.61,0.0
O00000121,C999993813408,P045,2023-11-01,M004,1,247.62,185.72,79.68,0.25
O00000122,C999993813408,P022,2023-07-10,,1,1375.3,1375.3,584.5,0.0
O00000123,C999993813408,P025,2024-06-29,,1,420.52,420.52,155.1,0.0
O00000124,C999993813486,P046,2024-03-01,M008,1,190.42,161.86,91.97,0.15
O00000125,C999993813486,P015,2023-03-12,,1,232.98,232.98,105.05,0.0
O00000126,C999993813486,P016,2024-07-22,,1,698.26,698.26,236.03,0.0
O00000127,C999993813486,P003,2023-02-14,,1,696.39,696.39,238.15,0.0
O00000128,C999993813486,P025,2023-07-10,,1,457.49,457.49,222.61,0.0
O00000129,C999993813486,P003,2024-07-07,,1,688.29,688.29,251.62,0.0
O00000130,C999993813486,P044,2023-10-29,,1,897.25,897.25,402.83,0.0
O00000131,C999993813486,P009,2023-07-24,,1,289.59,289.59,118.77,0.0
O00000132,C999993813486,P023,2024-02-09,,1,191.75,191.75,84.54,0.0
O00000133,C999993813486,P016,2023-07-31,,1,665.86,665.86,251.1,0.0
O00000134,C999993813486,P025,2024-04-21,,1,454.48,454.48,222.13,0.0
O00000135,C999993813486,P044,2024-08-16,,1,1144.37,1144.37,361.56,0.0
O00000136,C999993813486,P019,2023-09-12,,1,245.25,245.25,74.61,0.0
O00000137,C999993813486,P016,2023-04-11,,1,688.69,688.69,231.49,0.0
O00000138,C999993813486,P039,2024-04-05,,1,195.57,195.57,77.25,0.0
O00000139,C999993841209,P008,2024-03-28,,1,359.86,359.86,133.28,0.0
O00000140,C999993841209,P026,2023-11-19,,1,212.2,212.2,66.37,0.0
O00000141,C999993841209,P028,2023-07-29,,1,252.82,252.82,84.47,0.0
O00000142,C999993841209,P005,2023-06-07,M002,1,331.08,264.86,128.69,0.2
O00000143,C999993841209,P037,2024-02-22,,1,656.21,656.21,307.61,0.0
O00000144,C999993841209,P039,2023-08-29,,1,215.04,215.04,64.93,0.0
O00000145,C999993841209,P034,2024-07-10,,1,204.7,204.7,65.76,0.0
O00000146,C999993841209,P032,2023-05-08,,1,868.66,868.66,283.8,0.0
O00000147,C999993841209,P049,2023-07-07,,1,800.37,800.37,284.16,0.0
O00000148,C999993853214,P029,2023-01-31,,1,301.22,301.22,125.46,0.0
O00000149,C999993853214,P003,2023-03-08,M001,1,548.07,465.86,249.58,0.15
O00000150,C999993853214,P031,2024-04-26,,1,758.16,758.16,313.06,0.0
O00000151,C999993853214,P008,2023-01-21,,1,327.93,327.93,99.54,0.0
O00000152,C999993853214,P015,2023-05-23,,1,217.73,217.73,94.95,0.0
O00000153,C999993853214,P007,2023-11-07,M004,1,402.9,302.17,132.44,0.25
O00000154,C999993853214,P019,2024-06-25,,1,206.74,206.74,101.71,0.0
O00000155,C999993853214,P004,2024-02-26,,1,447.56,447.56,215.23,0.0
O00000156,C999993853214,P004,2023-11-25,,1,413.09,413.09,144.21,0.0
O00000157,C999993853214,P049,2024-02-09,,1,581.03,581.03,234.76,0.0
O00000158,C999993853214,P029,2024-09-24,,1,296.25,296.25,97.73,0.0
O00000159,C999993853214,P006,2023-11-21,,1,541.65,541.65,257.14,0.0
O00000160,C999993853214,P024,2023-12-10,M005,2,174.27,285.8,116.33,0.18
O00000161,C999993853214,P004,2023-09-30,,1,348.56,348.56,113.18,0.0
O00000162,C999993853214,P021,2024-02-17,,1,1521.61,1521.61,485.47,0.0
O00000163,C999993853214,P032,2024-02-03,,1,662.15,662.15,214.05,0.0
O00000164,C999993853214,P013,2023-11-01,M004,1,1168.36,876.27,482.71,0.25
O00000165,C999993853214,P032,2023-12-01,M005,1,604.62,495.79,229.8,0.18
O00000166,C999993853190,P046,2024-01-11,M006,1,282.21,248.34,125.18,0.12
O00000167,C999993853190,P019,2023-06-26,,2,228.14,456.28,161.27,0.0
O00000168,C999993853190,P006,2023-08-11,,1,411.2,411.2,198.69,0.0
O00000169,C999993853190,P040,2024-06-14,,1,98.75,98.75,37.8,0.0
O00000170,C999993853190,P001,2023-02-08,,1,574.7,574.7,243.95,0.0
O00000171,C999993853190,P048,2023-09-19,,1,805.77,805.77,321.08,0.0
O00000172,C999993853190,P006,2024-02-27,,1,598.51,598.51,182.52,0.0
O00000173,C999993853190,P020,2024-08-20,,1,75.95,75.95,33.06,0.0
O00000174,C999993853190,P048,2023-01-12,,1,1037.45,1037.45,431.91,0.0
O00000175,C999993853190,P017,2023-05-26,,2,495.81,991.62,388.0,0.0
O00000176,C999993853190,P014,2024-01-17,,1,402.06,402.06,140.43,0.0
O00000177,C999993853190,P044,2023-12-22,,1,1028.33,1028.33,410.96,0.0
O00000178,C999993853032,P041,2023-02-11,,1,314.43,314.43,156.76,0.0
O00000179,C999993853032,P048,2023-05-18,,1,1044.72,1044.72,493.5,0.0
O00000180,C999993853032,P012,2024-04-04,,1,342.75,342.75,169.03,0.0
O00000181,C999993853032,P036,2024-03-01,,1,57.12,57.12,21.62,0.0
O00000182,C999993853032,P024,2023-10-08,,1,166.29,166.29,51.14,0.0
O00000183,C999993853032,P046,2024-03-17,,1,226.84,226.84,102.4,0.0
O00000184,C999993809388,P027,2024-07-17,,1,235.69,235.69,79.86,0.0
O00000185,C999993809388,P043,2024-04-13,,1,300.7,300.7,94.62,0.0
O00000186,C999993809388,P007,2023-01-14,,1,479.83,479.83,188.1,0.0
O00000187,C999993813497,P022,2023-12-17,,1,1347.05,1347.05,629.23,0.0
O00000188,C999993813497,P023,2024-08-24,,1,170.84,170.84,77.36,0.0
O00000189,C999993813497,P027,2024-08-12,,1,259.15,259.15,102.78,0.0
O00000190,C999993813497,P047,2023-09-18,,1,283.98,283.98,106.96,0.0
O00000191,C999993813497,P043,2023-12-22,,1,236.68,236.68,73.23,0.0
O00000192,C999993813497,P032,2023-02-07,,1,630.53,630.53,300.26,0.0
O00000193,C999993813497,P021,2023-07-23,,1,1370.26,1370.26,603.7,0.0
O00000194,C999993813497,P008,2024-01-10,,1,431.64,431.64,168.67,0.0
O00000195,C999993813497,P010,2024-08-29,,1,58.27,58.27,23.36,0.0
O00000196,C999993813497,P014,2024-04-11,,1,326.44,326.44,106.25,0.0
O00000197,C999993813497,P010,2023-03-21,,1,60.95,60.95,26.8,0.0
O00000198,C999993813497,P048,2024-05-26,,1,1040.9,1040.9,486.5,0.0
O00000199,C999993813497,P017,2023-03-30,M001,1,677.98,576.28,298.84,0.15
O00000200,C999993813497,P048,2023-09-30,,1,846.42,846.42,291.52,0.0
O00000201,C999993813497,P002,2024-01-12,M006,1,454.64,400.08,149.63,0.12
O00000202,C999993813497,P015,2023-09-19,,1,206.14,206.14,90.4,0.0
O00000203,C999993813497,P002,2023-03-31,M001,1,433.91,368.82,191.9,0.15
O00000204,C999993813497,P035,2024-03-31,,1,551.67,551.67,262.0,0.0
O00000205,C999993813497,P033,2024-03-13,,1,71.07,71.07,25.93,0.0
O00000206,C999993813497,P018,2024-01-12,M006,1,1162.15,1022.69,460.49,0.12
O00000207,C999993828506,P029,2023-08-21,M003,1,338.12,304.31,136.08,0.1
O00000208,C999993828506,P019,2023-08-29,,1,267.84,267.84,104.0,0.0
O00000209,C999993828506,P002,2023-02-05,,1,403.47,403.47,171.76,0.0
O00000210,C999993847041,P045,2024-04-28,,1,212.05,212.05,83.48,0.0
O00000211,C999993847041,P038,2023-08-09,,2,140.41,280.82,106.97,0.0
O00000212,C999993847041,P001,2024-06-05,,1,393.31,393.31,153.94,0.0
O00000213,C999993847041,P047,2023-02-11,,1,273.03,273.03,89.65,0.0
O00000214,C999993847041,P019,2024-02-07,,1,241.85,241.85,86.58,0.0
O00000215,C999993847041,P001,2023-02-03,,1,460.28,460.28,210.19,0.0
O00000216,C999993847041,P037,2024-02-20,,1,667.7,667.7,225.85,0.0
O00000217,C999993847041,P014,2023-11-05,M004,1,399.92,299.94,170.3,0.25
O00000218,C999993847041,P025,2023-11-26,,1,432.16,432.16,164.06,0.0
O00000219,C999993847041,P004,2024-08-16,,1,446.2,446.2,218.26,0.0
O00000220,C999993847041,P046,2023-09-13,,1,269.74,269.74,99.7,0.0
O00000221,C999993847041,P026,2023-12-30,,1,234.54,234.54,74.57,0.0
O00000222,C999993842474,P030,2023-02-01,,2,718.06,1436.12,560.11,0.0
O00000223,C999993842474,P046,2023-08-20,M003,1,254.86,229.37,103.09,0.1
O00000224,C999993842474,P026,2023-06-27,,1,257.15,257.15,79.63,0.0
O00000225,C999993842474,P022,2024-07-03,,1,1456.21,1456.21,683.17,0.0
O00000226,C999993842474,P025,2023-03-04,,1,495.23,495.23,227.56,0.0
O00000227,C999993842474,P040,2024-07-17,,1,136.63,136.63,50.43,0.0
O00000228,C999993842474,P045,2024-04-11,,1,202.75,202.75,81.02,0.0
O00000229,C999993842474,P050,2023-12-19,,1,643.06,643.06,259.66,0.0
O00000230,C999993842474,P006,2023-07-07,,1,429.73,429.73,198.23,0.0
O00000231,C999993842474,P049,2023-02-16,,1,614.7,614.7,252.79,0.0
O00000232,C999993842474,P043,2023-07-27,,1,248.84,248.84,116.74,0.0
O00000233,C999993842474,P042,2023-09-11,,1,325.55,325.55,157.57,0.0
O00000234,C999993842474,P050,2024-09-11,,1,766.82,766.82,258.37,0.0
O00000235,C999993842474,P015,2023-03-28,M001,1,222.1,188.78,82.48,0.15
O00000236,C999993842474,P011,2023-05-17,,1,677.81,677.81,212.39,0.0
O00000237,C999993845033,P044,2024-06-29,,1,1113.13,1113.13,423.5,0.0
O00000238,C999993845033,P008,2023-10-01,,1,392.0,392.0,119.95,0.0
O00000239,C999993845033,P019,2024-08-30,,1,262.68,262.68,101.98,0.0
O00000240,C999993845033,P046,2023-06-09,M002,1,281.96,225.57,108.04,0.2
O00000241,C999993845033,P032,2023-10-02,,1,664.8,664.8,265.46,0.0
O00000242,C999993845033,P031,2024-08-08,,2,786.63,1573.26,660.55,0.0
O00000243,C999993845033,P034,2023-05-14,,1,176.8,176.8,57.51,0.0
O00000244,C999993845033,P042,2024-07-13,,1,322.18,322.18,101.8,0.0
O00000245,C999993845033,P022,2023-01-08,,1,1416.11,1416.11,484.21,0.0
O00000246,C999993845033,P012,2023-01-25,,1,252.75,252.75,90.22,0.0
O00000247,C999993845033,P035,2023-09-06,,1,598.33,598.33,194.94,0.0
O00000248,C999993845033,P049,2024-03-02,M008,1,622.14,528.82,223.66,0.15
O00000249,C999993845033,P011,2024-01-24,,2,759.23,1518.46,540.55,0.0
O00000250,C999993845033,P050,2023-02-17,,1,862.35,862.35,366.29,0.0
O00000251,C999993845033,P048,2023-03-06,M001,2,970.89,1650.51,830.11,0.15
O00000252,C999993845033,P013,2024-06-13,,1,958.96,958.96,385.64,0.0
O00000253,C999993845033,P036,2023-10-04,,1,61.28,61.28,29.63,0.0
O00000254,C999993845033,P024,2023-04-27,,2,179.43,358.86,172.41,0.0
O00000255,C999993845033,P017,2023-01-14,,1,555.65,555.65,251.95,0.0
O00000256,C999993845033,P049,2023-05-24,,1,580.78,580.78,261.14,0.0
O00000257,C999993810316,P021,2024-02-03,,1,1222.44,1222.44,521.75,0.0
O00000258,C999993810316,P023,2023-08-22,M003,1,136.26,122.63,47.95,0.1
O00000259,C999993810316,P009,2023-06-23,,1,276.44,276.44,89.31,0.0
O00000260,C999993845497,P039,2023-12-10,M005,1,192.86,158.15,79.68,0.18
O00000261,C999993845497,P036,2023-09-30,,1,72.11,72.11,26.03,0.0
O00000262,C999993845497,P005,2023-10-24,,1,288.83,288.83,119.62,0.0
O00000263,C999993845497,P008,2023-07-08,,1,378.83,378.83,138.87,0.0
O00000264,C999993845497,P050,2024-08-03,,1,819.04,819.04,262.05,0.0
O00000265,C999993845497,P048,2023-05-12,,2,807.77,1615.54,550.14,0.0
O00000266,C999993813850,P035,2023-01-23,,1,546.5,546.5,182.27,0.0
O00000267,C999993813850,P036,2024-08-12,,1,71.63,71.63,33.73,0.0
O00000268,C999993813850,P032,2024-01-09,,1,747.44,747.44,351.17,0.0
O00000269,C999993813850,P009,2024-01-04,,1,223.76,223.76,78.84,0.0
O00000270,C999993813850,P017,2023-05-28,,1,592.07,592.07,224.74,0.0
O00000271,C999993813850,P033,2023-10-13,,2,71.37,142.74,63.5,0.0
O00000272,C999993813850,P003,2023-01-16,,1,690.87,690.87,279.25,0.0
O00000273,C999993813850,P033,2023-08-02,,1,91.43,91.43,30.98,0.0
O00000274,C999993813850,P014,2023-08-16,,1,315.79,315.79,113.24,0.0
O00000275,C999993813850,P045,2023-06-16,,1,268.53,268.53,131.16,0.0
O00000276,C999993813850,P020,2024-05-03,,1,88.36,88.36,34.14,0.0
O00000277,C999993813850,P014,2023-07-22,,1,310.87,310.87,112.6,0.0
O00000278,C999993842521,P001,2024-06-26,,1,573.04,573.04,226.04,0.0
O00000279,C999993842521,P012,2023-01-28,,1,245.9,245.9,82.27,0.0
O00000280,C999993842521,P021,2023-08-22,M003,1,1507.31,1356.58,703.17,0.1
O00000281,C999993842521,P042,2023-12-13,,1,458.93,458.93,211.98,0.0
O00000282,C999993842521,P049,2023-10-16,,1,642.1,642.1,302.09,0.0
O00000283,C999993842521,P045,2023-08-28,,1,242.4,242.4,82.53,0.0
O00000284,C999993842521,P004,2023-09-04,,1,357.44,357.44,133.85,0.0
O00000285,C999993842521,P028,2024-09-18,,1,191.26,191.26,62.44,0.0
O00000286,C999993842521,P026,2024-05-07,,1,187.27,187.27,70.69,0.0
O00000287,C999993842521,P001,2023-07-18,,1,506.4,506.4,199.03,0.0
O00000288,C999993842521,P012,2024-07-07,,1,328.66,328.66,119.31,0.0
O00000289,C999993842521,P016,2023-12-03,,1,555.55,555.55,172.48,0.0
O00000290,C999993842521,P033,2023-06-19,,1,92.41,92.41,40.89,0.0
O00000291,C999993842521,P013,2024-02-23,,1,1104.12,1104.12,467.71,0.0
O00000292,C999993842521,P013,2024-02-04,,1,1130.86,1130.86,508.0,0.0
O00000293,C999993842521,P025,2023-10-28,,2,369.62,739.24,307.44,0.0
O00000294,C999993842521,P002,2023-01-24,,2,426.72,853.44,322.54,0.0
O00000295,C999993842521,P039,2024-04-27,,1,199.16,199.16,83.18,0.0
O00000296,C999993842521,P002,2023-08-30,,1,430.2,430.2,212.16,0.0
O00000297,C999993842521,P006,2023-08-30,,1,535.82,535.82,162.79,0.0
O00000298,C999993847018,P002,2024-04-19,,2,527.12,1054.24,440.63,0.0
O00000299,C999993847018,P023,2023-08-03,,1,181.71,181.71,66.24,0.0
O00000300,C999993847018,P046,2024-09-27,,1,283.64,283.64,111.44,0.0
O00000301,C999993847018,P044,2023-07-22,,1,973.93,973.93,486.68,0.0
O00000302,C999993847018,P003,2023-09-07,,1,551.11,551.11,169.97,0.0
O00000303,C999993847018,P005,2023-07-05,,1,273.49,273.49,105.23,0.0
O00000304,C999993842532,P024,2023-12-17,,1,189.76,189.76,66.2,0.0
O00000305,C999993842532,P017,2024-07-11,,1,661.43,661.43,262.66,0.0
O00000306,C999993842532,P009,2023-11-10,M004,1,283.74,212.8,105.29,0.25
O00000307,C999993842543,P035,2024-03-30,,1,552.62,552.62,182.19,0.0
O00000308,C999993842543,P031,2023-09-14,,1,696.25,696.25,333.16,0.0
O00000309,C999993842543,P030,2023-10-03,,1,866.82,866.82,276.46,0.0
O00000310,C999993842543,P021,2024-07-01,,2,1208.05,2416.1,1114.28,0.0
O00000311,C999993842543,P032,2023-03-30,M001,2,603.64,1026.19,557.55,0.15
O00000312,C999993842543,P008,2023-06-02,M002,1,372.98,298.38,133.96,0.2
O00000313,C999993846944,P040,2023-11-21,,1,117.9,117.9,37.57,0.0
O00000314,C999993846944,P007,2023-03-25,M001,1,454.1,385.98,149.11,0.15
O00000315,C999993846944,P012,2024-07-27,,1,328.04,328.04,112.23,0.0
O00000316,C999993846944,P028,2023-03-15,M001,1,207.73,176.57,76.02,0.15
O00000317,C999993846944,P020,2023-04-29,,1,69.57,69.57,32.11,0.0
O00000318,C999993846944,P034,2023-05-03,,1,173.86,173.86,80.79,0.0
O00000319,C999993828674,P041,2023-07-13,,1,362.58,362.58,119.94,0.0
O00000320,C999993828674,P011,2024-08-27,,1,784.33,784.33,372.11,0.0
O00000321,C999993828674,P040,2024-06-01,,1,127.7,127.7,38.54,0.0
O00000322,C999993828674,P031,2023-06-16,M002,1,836.52,669.22,381.48,0.2
O00000323,C999993828674,P050,2024-05-28,,1,844.21,844.21,264.78,0.0
O00000324,C999993828674,P015,2023-01-15,,1,219.3,219.3,84.24,0.0
O00000325,C999993828674,P030,2024-07-30,,1,811.95,811.95,274.4,0.0
O00000326,C999993828674,P049,2024-02-19,,1,544.85,544.85,218.8,0.0
O00000327,C999993828674,P016,2023-02-24,,1,681.6,681.6,283.79,0.0
O00000328,C999993845395,P006,2023-03-26,,1,506.4,506.4,237.95,0.0
O00000329,C999993845395,P036,2024-08-06,,1,64.34,64.34,23.74,0.0
O00000330,C999993845395,P002,2023-08-04,,1,524.64,524.64,231.48,0.0
O00000331,C999993845395,P014,2024-05-06,,1,327.23,327.23,127.95,0.0
O00000332,C999993845395,P011,2023-10-27,,1,720.7,720.7,290.43,0.0
O00000333,C999993845395,P038,2023-11-18,,1,159.74,159.74,65.8,0.0
O00000334,C999993846864,P011,2023-08-12,,1,671.05,671.05,285.55,0.0
O00000335,C999993846864,P008,2023-04-07,,1,430.32,430.32,133.64,0.0
O00000336,C999993846864,P011,2023-02-18,,1,647.14,647.14,213.51,0.0
O00000337,C999993846864,P038,2024-04-07,,1,141.21,141.21,44.73,0.0
O00000338,C999993846864,P013,2023-02-22,,2,1125.88,2251.76,836.92,0.0
O00000339,C999993846864,P014,2023-04-29,,1,367.7,367.7,181.72,0.0
O00000340,C999993846864,P005,2023-05-17,,2,225.12,450.24,220.41,0.0
O00000341,C999993846864,P017,2023-09-17,,1,632.81,632.81,310.53,0.0
O00000342,C999993846864,P048,2023-11-30,,1,711.86,711.86,262.38,0.0
O00000343,C999993845486,P011,2024-07-12,,1,533.09,533.09,178.21,0.0
