前项,后项,支持度,置信度,提升度
"卡文克莱香水, 菲拉格慕香水","迪奥香水, 祖玛珑香水",0.021330198186093382,0.14906103286384978,1.6314510839547087
"迪奥香水, 祖玛珑香水","卡文克莱香水, 菲拉格慕香水",0.021330198186093382,0.23345588235294112,1.6314510839547085
CK因为你香水IN2U喜欢你50ml/100ml/150ml等 -因为你女香100ml,"Dior迪奥真我香水女士 -100ml淡香水EDT, 卡文克莱香水",0.02032247228753779,0.1361079865016873,1.6272830354037071
"Dior迪奥真我香水女士 -100ml淡香水EDT, 卡文克莱香水",CK因为你香水IN2U喜欢你50ml/100ml/150ml等 -因为你女香100ml,0.02032247228753779,0.24297188755020077,1.627283035403707
"卡文克莱香水, Chanel香奈儿COCO可可小姐女士淡香水100ml",Chanel香奈儿香水女士淡香氛 粉色邂逅香水100ml,0.02200201545179711,0.25338491295938104,1.618727222918621
Chanel香奈儿香水女士淡香氛 粉色邂逅香水100ml,"卡文克莱香水, Chanel香奈儿COCO可可小姐女士淡香水100ml",0.02200201545179711,0.14055793991416307,1.6187272229186207
"安娜苏香水, 迪奥香水","卡文克莱香水, 兰蔻香水",0.02804837084313067,0.23034482758620692,1.6153982372771214
"卡文克莱香水, 兰蔻香水","安娜苏香水, 迪奥香水",0.02804837084313067,0.1967020023557126,1.6153982372771212
"迪奥香水, 菲拉格慕香水","卡文克莱香水, 祖玛珑香水",0.021330198186093382,0.2343173431734317,1.610999377892162
"卡文克莱香水, 祖玛珑香水","迪奥香水, 菲拉格慕香水",0.021330198186093382,0.14665127020785218,1.610999377892162
"博柏利香水, 祖玛珑香水","安娜苏香水, 卡文克莱香水",0.028384279475982533,0.30727272727272725,1.6090605261053808
"安娜苏香水, 卡文克莱香水","博柏利香水, 祖玛珑香水",0.028384279475982533,0.148636763412489,1.6090605261053808
"祖玛珑香水, 兰蔻香水",VERSACE范思哲晶钻 黑钻 幻影金钻 香恋明亮水晶5/30/50/90ml等 -晶钻30ml正装,0.023009741350352705,0.2523020257826888,1.6083578817024937
VERSACE范思哲晶钻 黑钻 幻影金钻 香恋明亮水晶5/30/50/90ml等 -晶钻30ml正装,"祖玛珑香水, 兰蔻香水",0.023009741350352705,0.1466809421841542,1.6083578817024937
"卡文克莱香水, 菲拉格慕香水","迪奥香水, 博柏利香水",0.021666106818945246,0.15140845070422534,1.606926765584595
"迪奥香水, 博柏利香水","卡文克莱香水, 菲拉格慕香水",0.021666106818945246,0.2299465240641711,1.606926765584595
"卡文克莱香水, 博柏利香水","迪奥香水, 兰蔻香水",0.02267383271750084,0.1486784140969163,1.597890392658916
"迪奥香水, 兰蔻香水","卡文克莱香水, 博柏利香水",0.02267383271750084,0.24368231046931407,1.597890392658916
"卡文克莱香水, 专柜正品chanel香奈儿coco可可小姐香水女士香氛 摩登coco浓香EDP100ml",Chanel香奈儿香水女士淡香氛 粉色邂逅香水100ml,0.021330198186093382,0.24901960784313723,1.5908398552554066
Chanel香奈儿香水女士淡香氛 粉色邂逅香水100ml,"卡文克莱香水, 专柜正品chanel香奈儿coco可可小姐香水女士香氛 摩登coco浓香EDP100ml",0.021330198186093382,0.13626609442060084,1.5908398552554066
"卡文克莱香水, 迪奥香水", CHANEL香奈儿邂逅机会EDP女士香水100ml 黄色机遇持久浓香 ,0.03678199529727914,0.24579124579124575,1.587246287897047
 CHANEL香奈儿邂逅机会EDP女士香水100ml 黄色机遇持久浓香 ,"卡文克莱香水, 迪奥香水",0.03678199529727914,0.237527114967462,1.5872462878970468
"卡文克莱香水, 迪奥香水","兰蔻香水, 菲拉格慕香水",0.020490426603963722,0.13692480359147027,1.5860900400459417
"兰蔻香水, 菲拉格慕香水","卡文克莱香水, 迪奥香水",0.020490426603963722,0.23735408560311286,1.5860900400459415
"安娜苏香水, 菲拉格慕香水","卡文克莱香水, 博柏利香水",0.02804837084313067,0.24132947976878613,1.5824622494970844
"卡文克莱香水, 博柏利香水","安娜苏香水, 菲拉格慕香水",0.02804837084313067,0.18392070484581496,1.5824622494970844
"卡文克莱香水, 香奈儿可可小姐淡香水（瓶装）",Chanel香奈儿COCO可可小姐女士淡香水100ml,0.02116224386966745,0.2535211267605634,1.5805914018140255
Chanel香奈儿COCO可可小姐女士淡香水100ml,"卡文克莱香水, 香奈儿可可小姐淡香水（瓶装）",0.02116224386966745,0.1319371727748691,1.5805914018140252
"卡文克莱香水, 博柏利香水, 兰蔻香水",祖玛珑香水,0.02418542156533423,0.44720496894409933,1.580212691449951
祖玛珑香水,"卡文克莱香水, 博柏利香水, 兰蔻香水",0.02418542156533423,0.08545994065281899,1.580212691449951
"迪奥香水, 菲拉格慕香水","卡文克莱香水, 兰蔻香水",0.020490426603963722,0.2250922509225092,1.5785621460454886
"卡文克莱香水, 兰蔻香水","迪奥香水, 菲拉格慕香水",0.020490426603963722,0.143698468786808,1.5785621460454886
"博柏利香水, 菲拉格慕香水","安娜苏香水, 卡文克莱香水",0.02804837084313067,0.30144404332129965,1.5785381125198048
"迪奥香水, 兰蔻香水","安娜苏香水, 卡文克莱香水",0.02804837084313067,0.30144404332129965,1.5785381125198048
"安娜苏香水, 卡文克莱香水","博柏利香水, 菲拉格慕香水",0.02804837084313067,0.1468777484608619,1.5785381125198046
"安娜苏香水, 卡文克莱香水","迪奥香水, 兰蔻香水",0.02804837084313067,0.1468777484608619,1.5785381125198046
"祖玛珑香水, 兰蔻香水",古驰香水,0.023009741350352705,0.2523020257826888,1.5779477536871103
古驰香水,"祖玛珑香水, 兰蔻香水",0.023009741350352705,0.14390756302521007,1.57794775368711
博柏利香水,"安娜苏香水, 迪奥香水, 兰蔻香水",0.020826335236815586,0.07285546415981198,1.5773870313000746
"安娜苏香水, 迪奥香水, 兰蔻香水",博柏利香水,0.020826335236815586,0.45090909090909087,1.5773870313000746
"安娜苏香水, 博柏利香水","卡文克莱香水, 兰蔻香水",0.028384279475982533,0.2247340425531915,1.576050046362429
"卡文克莱香水, 兰蔻香水","安娜苏香水, 博柏利香水",0.028384279475982533,0.19905771495877503,1.5760500463624287
Chanel香奈儿COCO可可小姐女士淡香水100ml,"卡文克莱香水, Chanel香奈儿香水女士淡香氛 粉色邂逅香水100ml",0.02200201545179711,0.13717277486910995,1.5736545309647025
"卡文克莱香水, Chanel香奈儿香水女士淡香氛 粉色邂逅香水100ml",Chanel香奈儿COCO可可小姐女士淡香水100ml,0.02200201545179711,0.2524084778420038,1.5736545309647023
"卡文克莱香水, 博柏利香水","祖玛珑香水, 菲拉格慕香水",0.020658380920389654,0.1354625550660793,1.5691518538199147
"祖玛珑香水, 菲拉格慕香水","卡文克莱香水, 博柏利香水",0.020658380920389654,0.23929961089494164,1.5691518538199145
"卡文克莱香水, 迪奥香水","博柏利香水, 兰蔻香水",0.02267383271750084,0.15151515151515152,1.5689064558629777
"博柏利香水, 兰蔻香水","卡文克莱香水, 迪奥香水",0.02267383271750084,0.2347826086956522,1.5689064558629777
博柏利香水,"宝格丽女士香水, 兰蔻香水",0.022169969768223042,0.07755581668625146,1.565312991694716
"宝格丽女士香水, 兰蔻香水",博柏利香水,0.022169969768223042,0.447457627118644,1.5653129916947157
"安娜苏香水, 博柏利香水, 兰蔻香水",迪奥香水,0.020826335236815586,0.44285714285714284,1.5639213692594474
迪奥香水,"安娜苏香水, 博柏利香水, 兰蔻香水",0.020826335236815586,0.07354685646500592,1.5639213692594471
"安娜苏香水, 祖玛珑香水","卡文克莱香水, 博柏利香水",0.028384279475982533,0.23836389280677012,1.563016098867301
"卡文克莱香水, 博柏利香水","安娜苏香水, 祖玛珑香水",0.028384279475982533,0.18612334801762112,1.5630160988673005
"博柏利香水, 祖玛珑香水","卡文克莱香水, 菲拉格慕香水",0.020658380920389654,0.22363636363636363,1.5628297055057618
"卡文克莱香水, 菲拉格慕香水","博柏利香水, 祖玛珑香水",0.020658380920389654,0.1443661971830986,1.5628297055057618
祖玛珑香水,"VERSACE范思哲晶钻 黑钻 幻影金钻 香恋明亮水晶5/30/50/90ml等 -晶钻30ml正装, 兰蔻香水",0.023009741350352705,0.08130563798219585,1.5615928017612715
"VERSACE范思哲晶钻 黑钻 幻影金钻 香恋明亮水晶5/30/50/90ml等 -晶钻30ml正装, 兰蔻香水",祖玛珑香水,0.023009741350352705,0.4419354838709678,1.5615928017612715
"迪奥香水, 菲拉格慕香水","卡文克莱香水, 博柏利香水",0.021666106818945246,0.2380073800738007,1.5606783490742393
"卡文克莱香水, 博柏利香水","迪奥香水, 菲拉格慕香水",0.021666106818945246,0.14207048458149776,1.560678349074239
香奈儿可可小姐淡香水（瓶装）,"卡文克莱香水, Chanel香奈儿COCO可可小姐女士淡香水100ml",0.02116224386966745,0.13548387096774195,1.5602920072377864
"卡文克莱香水, Chanel香奈儿COCO可可小姐女士淡香水100ml",香奈儿可可小姐淡香水（瓶装）,0.02116224386966745,0.24371373307543517,1.5602920072377862
CK因为你香水IN2U喜欢你50ml/100ml/150ml等 -因为你女香100ml,"迪奥香水, 菲拉格慕香水",0.02116224386966745,0.14173228346456693,1.5569631286864047
"迪奥香水, 菲拉格慕香水",CK因为你香水IN2U喜欢你50ml/100ml/150ml等 -因为你女香100ml,0.02116224386966745,0.2324723247232472,1.5569631286864047
"卡文克莱香水, 迪奥香水","博柏利香水, 菲拉格慕香水",0.021666106818945246,0.14478114478114476,1.55600529968761
"博柏利香水, 菲拉格慕香水","卡文克莱香水, 迪奥香水",0.021666106818945246,0.23285198555956677,1.55600529968761
"安娜苏香水, 博柏利香水","卡文克莱香水, 菲拉格慕香水",0.02804837084313067,0.2220744680851064,1.5519147687543704
"卡文克莱香水, 菲拉格慕香水","安娜苏香水, 博柏利香水",0.02804837084313067,0.19600938967136153,1.5519147687543704
"卡文克莱香水, 祖玛珑香水, 兰蔻香水",博柏利香水,0.02418542156533423,0.44307692307692303,1.5499882491186836
博柏利香水,"卡文克莱香水, 祖玛珑香水, 兰蔻香水",0.02418542156533423,0.08460634547591069,1.5499882491186836
兰蔻香水,"迪奥（Dior/CD）香水女士 迪奥粉红魅惑香水女士100ml, 迪奥香水",0.021498152502519314,0.07591933570581257,1.5480264547685205
"迪奥（Dior/CD）香水女士 迪奥粉红魅惑香水女士100ml, 迪奥香水",兰蔻香水,0.021498152502519314,0.4383561643835616,1.5480264547685205
"卡文克莱香水, Dior迪奥女士香水Q版5ml小样  香水身体乳  礼盒包装 送手提袋 四件装 白色礼盒",宝格丽女士香水,0.021330198186093382,0.2509881422924901,1.5469807445232777
宝格丽女士香水,"卡文克莱香水, Dior迪奥女士香水Q版5ml小样  香水身体乳  礼盒包装 送手提袋 四件装 白色礼盒",0.021330198186093382,0.13146997929606624,1.5469807445232775
迪奥香水,"卡文克莱香水, 祖玛珑香水, 菲拉格慕香水",0.021330198186093382,0.0753262158956109,1.5465251360085082
"卡文克莱香水, 祖玛珑香水, 菲拉格慕香水",迪奥香水,0.021330198186093382,0.4379310344827586,1.546525136008508
"安娜苏香水, 博柏利香水","卡文克莱香水, 祖玛珑香水",0.028384279475982533,0.2247340425531915,1.5451114195862612
"卡文克莱香水, 祖玛珑香水","安娜苏香水, 博柏利香水",0.028384279475982533,0.1951501154734411,1.545111419586261
"卡文克莱香水, 兰蔻香水, 菲拉格慕香水",迪奥香水,0.020490426603963722,0.43727598566308246,1.5442118734507668
迪奥香水,"卡文克莱香水, 兰蔻香水, 菲拉格慕香水",0.020490426603963722,0.07236061684460261,1.5442118734507668
Gucci古驰花之舞花园系列女香之 栀子花/柑橘/紫罗兰等 -30ml栀子花正装,"迪奥香水, 博柏利香水",0.022841787033926773,0.14545454545454548,1.5437368335764061
"迪奥香水, 博柏利香水",Gucci古驰花之舞花园系列女香之 栀子花/柑橘/紫罗兰等 -30ml栀子花正装,0.022841787033926773,0.24242424242424243,1.543736833576406
"安娜苏香水, 祖玛珑香水","卡文克莱香水, 兰蔻香水",0.026200873362445413,0.22002820874471085,1.5430482389470064
"卡文克莱香水, 兰蔻香水","安娜苏香水, 祖玛珑香水",0.026200873362445413,0.18374558303886923,1.5430482389470062
兰蔻香水,"古驰香水, 祖玛珑香水",0.023009741350352705,0.08125741399762752,1.5407854870760327
"古驰香水, 祖玛珑香水",兰蔻香水,0.023009741350352705,0.4363057324840765,1.5407854870760327
"卡文克莱香水,  CHANEL香奈儿邂逅机会EDP女士香水100ml 黄色机遇持久浓香 ",迪奥香水,0.03678199529727914,0.4362549800796812,1.540606258241057
迪奥香水,"卡文克莱香水,  CHANEL香奈儿邂逅机会EDP女士香水100ml 黄色机遇持久浓香 ",0.03678199529727914,0.12989323843416367,1.540606258241057
"美奥迪菲MYOSOTIS 豪华装法国女士香水夜用30ml清新持久淡香买一送7 红唇豪华版30毫升, 兰蔻香水",祖玛珑香水,0.021666106818945246,0.4358108108108108,1.5399510786751143
祖玛珑香水,"美奥迪菲MYOSOTIS 豪华装法国女士香水夜用30ml清新持久淡香买一送7 红唇豪华版30毫升, 兰蔻香水",0.021666106818945246,0.07655786350148368,1.5399510786751143
"博柏利香水, 兰蔻香水","安娜苏香水, 卡文克莱香水",0.028384279475982533,0.2939130434782609,1.5391013727964515
"安娜苏香水, 卡文克莱香水","博柏利香水, 兰蔻香水",0.028384279475982533,0.148636763412489,1.5391013727964513
"迪奥香水, 兰蔻香水","卡文克莱香水, 菲拉格慕香水",0.020490426603963722,0.22021660649819494,1.5389315435331605
"卡文克莱香水, 菲拉格慕香水","迪奥香水, 兰蔻香水",0.020490426603963722,0.1431924882629108,1.5389315435331605
兰蔻香水,"VERSACE范思哲晶钻 黑钻 幻影金钻 香恋明亮水晶5/30/50/90ml等 -晶钻30ml正装, 祖玛珑香水",0.023009741350352705,0.08125741399762752,1.5358941045773786
"VERSACE范思哲晶钻 黑钻 幻影金钻 香恋明亮水晶5/30/50/90ml等 -晶钻30ml正装, 祖玛珑香水",兰蔻香水,0.023009741350352705,0.434920634920635,1.5358941045773786
"安娜苏香水, 兰蔻香水","卡文克莱香水, 迪奥香水",0.02804837084313067,0.2297111416781293,1.5350169893957148
"卡文克莱香水, 迪奥香水","安娜苏香水, 兰蔻香水",0.02804837084313067,0.18742985409652077,1.5350169893957148
专柜正品chanel香奈儿coco可可小姐香水女士香氛 摩登coco浓香EDP100ml,"卡文克莱香水, Chanel香奈儿香水女士淡香氛 粉色邂逅香水100ml",0.021330198186093382,0.1336842105263158,1.533633505729642
"卡文克莱香水, Chanel香奈儿香水女士淡香氛 粉色邂逅香水100ml",专柜正品chanel香奈儿coco可可小姐香水女士香氛 摩登coco浓香EDP100ml,0.021330198186093382,0.2447013487475915,1.533633505729642
"安娜苏香水, 卡文克莱香水, 博柏利香水",迪奥香水,0.03107154853879745,0.4342723004694836,1.5336045533779983
迪奥香水,"安娜苏香水, 卡文克莱香水, 博柏利香水",0.03107154853879745,0.10972716488730723,1.5336045533779983
"古驰香水, 兰蔻香水",祖玛珑香水,0.023009741350352705,0.4335443037974684,1.5319423055252979
祖玛珑香水,"古驰香水, 兰蔻香水",0.023009741350352705,0.08130563798219585,1.5319423055252979
"安娜苏香水, 卡文克莱香水, 祖玛珑香水",博柏利香水,0.028384279475982533,0.4378238341968912,1.531611697302168
博柏利香水,"安娜苏香水, 卡文克莱香水, 祖玛珑香水",0.028384279475982533,0.09929494712103407,1.5316116973021678
菲拉格慕香水,"迪奥（Dior/CD）香水女士 迪奥粉红魅惑香水女士100ml, 迪奥香水",0.020826335236815586,0.07510599636583888,1.5314421313774134
"迪奥（Dior/CD）香水女士 迪奥粉红魅惑香水女士100ml, 迪奥香水",菲拉格慕香水,0.020826335236815586,0.42465753424657526,1.5314421313774134
兰蔻香水,"安娜苏香水, 迪奥香水, 博柏利香水",0.020826335236815586,0.07354685646500592,1.5311118300442141
"安娜苏香水, 迪奥香水, 博柏利香水",兰蔻香水,0.020826335236815586,0.43356643356643354,1.5311118300442141
"Gucci古驰花之舞花园系列女香之 栀子花/柑橘/紫罗兰等 -30ml栀子花正装, 兰蔻香水",博柏利香水,0.022337924084648974,0.43749999999999994,1.5304788484136307
博柏利香水,"Gucci古驰花之舞花园系列女香之 栀子花/柑橘/紫罗兰等 -30ml栀子花正装, 兰蔻香水",0.022337924084648974,0.07814336075205638,1.5304788484136307
博柏利香水,"安娜苏香水, 卡文克莱香水, 迪奥香水",0.03107154853879745,0.10869565217391303,1.5299619693699247
"安娜苏香水, 卡文克莱香水, 迪奥香水",博柏利香水,0.03107154853879745,0.4373522458628841,1.5299619693699247
博柏利香水,"雅芳香氛喷雾香水50ml 送小黑裙身体乳香氛香水 小黑裙50ML送小黑裙身体乳, 兰蔻香水",0.02267383271750084,0.07931844888366626,1.5283561315642362
"雅芳香氛喷雾香水50ml 送小黑裙身体乳香氛香水 小黑裙50ML送小黑裙身体乳, 兰蔻香水",博柏利香水,0.02267383271750084,0.4368932038834952,1.5283561315642362
"博柏利香水, 菲拉格慕香水","卡文克莱香水, 祖玛珑香水",0.020658380920389654,0.22202166064981946,1.5264630109803985
"卡文克莱香水, 祖玛珑香水","博柏利香水, 菲拉格慕香水",0.020658380920389654,0.1420323325635104,1.5264630109803985
"安娜苏香水, 兰蔻香水","卡文克莱香水, 博柏利香水",0.028384279475982533,0.2324621733149931,1.5243169382350978
"卡文克莱香水, 博柏利香水","安娜苏香水, 兰蔻香水",0.028384279475982533,0.18612334801762112,1.5243169382350978
"博柏利香水, 兰蔻香水",雅芳香氛喷雾香水50ml 送小黑裙身体乳香氛香水 小黑裙50ML送小黑裙身体乳,0.02267383271750084,0.2347826086956522,1.5227621483375962
雅芳香氛喷雾香水50ml 送小黑裙身体乳香氛香水 小黑裙50ML送小黑裙身体乳,"博柏利香水, 兰蔻香水",0.02267383271750084,0.14705882352941177,1.522762148337596
"安娜苏香水, 卡文克莱香水, 菲拉格慕香水",博柏利香水,0.02804837084313067,0.4348958333333333,1.5213688552683116
博柏利香水,"安娜苏香水, 卡文克莱香水, 菲拉格慕香水",0.02804837084313067,0.0981198589894242,1.5213688552683116
"迪奥香水, 祖玛珑香水","安娜苏香水, 卡文克莱香水",0.026536781995297277,0.2904411764705882,1.520920637384241
"安娜苏香水, 卡文克莱香水","迪奥香水, 祖玛珑香水",0.026536781995297277,0.13896218117854,1.520920637384241
"卡文克莱香水, 马克.雅可布香水",意大利原装进口Bvlgari宝格丽女士香水持久淡香氛 紫金纯香65ml,0.020826335236815586,0.2440944881889764,1.5202286429677463
意大利原装进口Bvlgari宝格丽女士香水持久淡香氛 紫金纯香65ml,"卡文克莱香水, 马克.雅可布香水",0.020826335236815586,0.12970711297071127,1.520228642967746
"Dior克丽丝汀迪奥女士香水 持久淡香氛 真我EDP浓香50ml(京东发货), 卡文克莱香水",宝格丽女士香水,0.020490426603963722,0.24646464646464644,1.5190999017085973
宝格丽女士香水,"Dior克丽丝汀迪奥女士香水 持久淡香氛 真我EDP浓香50ml(京东发货), 卡文克莱香水",0.020490426603963722,0.12629399585921325,1.5190999017085973
兰蔻香水,"卡文克莱香水, 博柏利香水, 祖玛珑香水",0.02418542156533423,0.08540925266903913,1.5179901205715194
"卡文克莱香水, 博柏利香水, 祖玛珑香水",兰蔻香水,0.02418542156533423,0.42985074626865666,1.5179901205715194
"安娜苏香水, 卡文克莱香水","迪奥香水, 菲拉格慕香水",0.026368827678871345,0.13808267370272645,1.5168712900849322
"迪奥香水, 菲拉格慕香水","安娜苏香水, 卡文克莱香水",0.026368827678871345,0.2896678966789667,1.516871290084932
"卡文克莱香水, 迪奥香水","安娜苏香水, 菲拉格慕香水",0.026368827678871345,0.17620650953984285,1.5160889563587057
"安娜苏香水, 菲拉格慕香水","卡文克莱香水, 迪奥香水",0.026368827678871345,0.22687861271676296,1.5160889563587054
专柜正品chanel香奈儿coco可可小姐香水女士香氛 摩登coco浓香EDP100ml,"迪奥香水, 兰蔻香水",0.022505878401074906,0.14105263157894737,1.5159338780163405
"迪奥香水, 兰蔻香水",专柜正品chanel香奈儿coco可可小姐香水女士香氛 摩登coco浓香EDP100ml,0.022505878401074906,0.2418772563176895,1.5159338780163403
博柏利香水,"安娜苏香水, 卡文克莱香水, 兰蔻香水",0.028384279475982533,0.09929494712103407,1.5159028593811201
"安娜苏香水, 卡文克莱香水, 兰蔻香水",博柏利香水,0.028384279475982533,0.43333333333333335,1.5159028593811201
博柏利香水,"兰蔻香水, 香奈儿可可小姐淡香水（瓶装）",0.021834061135371178,0.07638072855464158,1.51590285938112
"兰蔻香水, 香奈儿可可小姐淡香水（瓶装）",博柏利香水,0.021834061135371178,0.4333333333333333,1.51590285938112
"香奈儿可可小姐淡香水（瓶装）, 菲拉格慕香水",博柏利香水,0.02116224386966745,0.4329896907216495,1.5147007159557584
博柏利香水,"香奈儿可可小姐淡香水（瓶装）, 菲拉格慕香水",0.02116224386966745,0.07403055229142184,1.5147007159557582
"迪奥香水, CK因为你香水IN2U喜欢你50ml/100ml/150ml等 -因为你女香100ml",菲拉格慕香水,0.02116224386966745,0.42000000000000004,1.5146456692913388
菲拉格慕香水,"迪奥香水, CK因为你香水IN2U喜欢你50ml/100ml/150ml等 -因为你女香100ml",0.02116224386966745,0.07631738340399757,1.5146456692913386
博柏利香水,"兰蔻香水, 阿玛尼ARMANI 挚爱女士香水EDP 1.5ml*3",0.022169969768223042,0.07755581668625146,1.5139912542621023
"兰蔻香水, 阿玛尼ARMANI 挚爱女士香水EDP 1.5ml*3",博柏利香水,0.022169969768223042,0.4327868852459016,1.5139912542621021
"卡文克莱香水, Dior迪奥女士香水Q版5ml小样  香水身体乳  礼盒包装 送手提袋 四件装 白色礼盒",意大利原装进口Bvlgari宝格丽女士香水持久淡香氛 紫金纯香65ml,0.020658380920389654,0.24308300395256918,1.5139290852861893
意大利原装进口Bvlgari宝格丽女士香水持久淡香氛 紫金纯香65ml,"卡文克莱香水, Dior迪奥女士香水Q版5ml小样  香水身体乳  礼盒包装 送手提袋 四件装 白色礼盒",0.020658380920389654,0.12866108786610878,1.513929085286189
"安娜苏香水, 博柏利香水",范思哲香水,0.02972791400738999,0.23537234042553187,1.5133983962134092
范思哲香水,"安娜苏香水, 博柏利香水",0.02972791400738999,0.19114470842332612,1.5133983962134092
"卡文克莱香水, 菲拉格慕香水","安娜苏香水, 迪奥香水",0.026368827678871345,0.18427230046948356,1.5133203820624899
"安娜苏香水, 迪奥香水","卡文克莱香水, 菲拉格慕香水",0.026368827678871345,0.216551724137931,1.5133203820624896
迪奥香水,"安娜苏香水, 卡文克莱香水, 兰蔻香水",0.02804837084313067,0.09905100830367734,1.5121787267694742
"安娜苏香水, 卡文克莱香水, 兰蔻香水",迪奥香水,0.02804837084313067,0.42820512820512824,1.5121787267694742
迪奥香水,"专柜正品chanel香奈儿coco可可小姐香水女士香氛 摩登coco浓香EDP100ml, 兰蔻香水",0.022505878401074906,0.07947805456702253,1.511860501252563
"专柜正品chanel香奈儿coco可可小姐香水女士香氛 摩登coco浓香EDP100ml, 兰蔻香水",迪奥香水,0.022505878401074906,0.4281150159744409,1.5118605012525628
"阿玛尼Gio寄情水男士淡香水 50ML, 菲拉格慕香水",博柏利香水,0.021834061135371178,0.4318936877076412,1.5108666372569304
博柏利香水,"阿玛尼Gio寄情水男士淡香水 50ML, 菲拉格慕香水",0.021834061135371178,0.07638072855464158,1.5108666372569302
Dior迪奥女士香水女人生日礼物 迪奥小甜心小姐 真我女士香水发香雾迪奥真我发香喷雾 迪奥 迪奥真我发香雾30ml送礼盒无货预定中,"迪奥香水, 祖玛珑香水",0.022505878401074906,0.1380020597322348,1.510412249348761
