客户ID,Recency,Frequency,Monetary,平均订单金额,产品多样性,活动参与次数,R_Score,F_Score,M_Score,RFM_Score,RFM_Total
C999993822082,313,6,3368.27,561.3783333333333,6,1.0,1,1,2,112,4
C999993822093,39,6,3716.3700000000003,619.3950000000001,6,1.0,3,1,3,313,7
C999993822106,268,6,2650.54,441.75666666666666,5,1.0,1,1,2,112,4
C999993822139,100,6,3047.17,507.8616666666667,5,1.0,2,1,2,212,5
C999993822140,88,6,3370.4799999999996,561.7466666666666,6,0.0,2,1,2,212,5
C999993822162,219,6,3997.73,666.2883333333333,6,1.0,1,1,3,113,5
C999993822219,156,6,2012.96,335.49333333333334,6,0.0,1,1,1,111,3
C999993822220,38,6,3654.59,609.0983333333334,6,1.0,3,1,3,313,7
C999993822231,287,6,5571.61,928.6016666666666,5,0.0,1,1,3,113,5
C999993822242,13,6,2430.58,405.09666666666664,6,0.0,4,1,2,412,7
C999993822264,150,6,1931.5700000000002,321.92833333333334,4,0.0,1,1,1,111,3
C999993822286,115,6,4650.139999999999,775.0233333333332,6,1.0,2,1,3,213,6
C999993822297,13,6,2116.23,352.705,6,3.0,4,1,1,411,6
C999993822311,208,6,3868.32,644.72,6,1.0,1,1,3,113,5
C999993822333,71,6,2950.6,491.76666666666665,6,1.0,2,1,2,212,5
C999993822344,431,6,6467.4,1077.8999999999999,5,2.0,1,1,4,114,6
C999993822355,14,6,4723.75,787.2916666666666,6,0.0,4,1,3,413,8
C999993822366,166,6,2369.8,394.9666666666667,5,2.0,1,1,1,111,3
C999993822377,127,6,3216.7,536.1166666666667,6,1.0,1,1,2,112,4
C999993822388,126,6,3448.3,574.7166666666667,6,0.0,1,1,2,112,4
C999993822399,36,6,2849.7,474.95,6,0.0,3,1,2,312,6
C999993822402,161,6,1786.95,297.825,4,1.0,1,1,1,111,3
C999993822435,34,12,4652.04,387.67,11,0.0,3,3,3,333,9
C999993822491,40,20,10105.51,505.2755,17,2.0,3,4,4,344,11
C999993822504,55,6,1702.13,283.68833333333333,6,1.0,2,1,1,211,4
C999993822515,150,6,1859.3000000000002,309.8833333333334,6,0.0,1,1,1,111,3
C999993822526,9,9,4782.86,531.4288888888889,9,2.0,4,2,3,423,9
C999993822537,41,20,8317.9,415.895,17,3.0,3,4,4,344,11
C999993822548,122,3,1710.77,570.2566666666667,3,0.0,1,1,1,111,3
C999993822559,82,6,1631.03,271.8383333333333,6,1.0,2,1,1,211,4
C999993822560,40,15,7279.65,485.31,13,2.0,3,3,4,334,10
C999993822593,31,18,8962.630000000001,497.92388888888894,14,0.0,3,4,4,344,11
C999993822616,151,6,2302.25,383.7083333333333,6,0.0,1,1,1,111,3
C999993822650,75,6,3126.29,521.0483333333333,6,1.0,2,1,2,212,5
C999993822661,32,6,2796.2700000000004,466.0450000000001,6,0.0,3,1,2,312,6
C999993822707,98,6,4937.51,822.9183333333334,6,2.0,2,1,3,213,6
C999993822729,30,6,2485.06,414.1766666666667,5,0.0,3,1,2,312,6
C999993822741,235,6,4071.69,678.615,6,2.0,1,1,3,113,5
C999993822752,10,12,7164.0599999999995,597.005,9,0.0,4,3,4,434,11
C999993822774,131,6,3691.2000000000003,615.2,6,0.0,1,1,3,113,5
C999993822785,101,9,5970.76,663.4177777777778,9,1.0,2,2,4,224,8
C999993822796,261,3,858.53,286.1766666666667,3,2.0,1,1,1,111,3
C999993822854,47,20,12474.57,623.7284999999999,17,1.0,3,4,4,344,11
C999993822934,28,6,2290.27,381.71166666666664,6,1.0,3,1,1,311,5
C999993822956,243,6,2796.46,466.07666666666665,6,1.0,1,1,2,112,4
C999993822978,161,6,5256.01,876.0016666666667,4,1.0,1,1,3,113,5
C999993822990,14,6,5626.0,937.6666666666666,6,1.0,4,1,3,413,8
C999993823007,38,6,2263.61,377.2683333333334,6,1.0,3,1,1,311,5
C999993823018,34,6,4755.74,792.6233333333333,5,0.0,3,1,3,313,7
C999993823029,30,12,6501.31,541.7758333333334,11,0.0,3,3,4,334,10
C999993823030,12,15,6694.26,446.284,13,2.0,4,3,4,434,11
C999993823041,5,6,2727.79,454.63166666666666,6,1.0,4,1,2,412,7
C999993823085,51,20,10467.55,523.3774999999999,16,2.0,3,4,4,344,11
C999993823096,65,6,2957.76,492.96000000000004,6,0.0,2,1,2,212,5
C999993823109,6,6,2700.2999999999997,450.04999999999995,6,0.0,4,1,2,412,7
C999993823110,56,9,5489.02,609.8911111111112,8,1.0,2,2,3,223,7
C999993823121,6,20,10647.22,532.361,15,1.0,4,4,4,444,12
C999993823154,73,15,5423.99,361.59933333333333,14,2.0,2,3,3,233,8
C999993823187,8,18,7686.03,427.00166666666667,13,1.0,4,4,4,444,12
C999993823198,15,6,3683.33,613.8883333333333,6,0.0,4,1,3,413,8
C999993823212,19,6,3967.0099999999998,661.1683333333333,6,1.0,4,1,3,413,8
C999993823223,40,6,2884.42,480.7366666666667,6,1.0,3,1,2,312,6
C999993823234,22,6,4234.92,705.82,6,0.0,3,1,3,313,7
C999993823245,137,6,3862.26,643.71,6,0.0,1,1,3,113,5
C999993823267,14,6,5533.63,922.2716666666666,6,1.0,4,1,3,413,8
C999993823303,109,6,2759.92,459.9866666666667,5,0.0,2,1,2,212,5
C999993823314,49,12,3797.61,316.46750000000003,11,2.0,3,3,3,333,9
C999993823325,33,15,7118.02,474.5346666666667,13,1.0,3,3,4,334,10
C999993823347,28,9,2920.9,324.5444444444445,9,1.0,3,2,2,322,7
C999993823358,250,3,1619.81,539.9366666666666,3,0.0,1,1,1,111,3
C999993823370,12,20,8300.31,415.0155,16,3.0,4,4,4,444,12
C999993823392,112,6,2285.71,380.95166666666665,6,1.0,2,1,1,211,4
C999993823449,18,15,12131.2,808.7466666666667,12,3.0,4,3,4,434,11
C999993823483,128,6,2316.98,386.16333333333336,5,2.0,1,1,1,111,3
C999993823529,216,9,3403.07,378.11888888888893,8,0.0,1,2,2,122,5
C999993823563,63,15,6262.21,417.48066666666665,14,1.0,2,3,4,234,9
C999993823608,2,15,8607.53,573.8353333333333,14,3.0,4,3,4,434,11
C999993823620,1,6,3735.8399999999997,622.64,6,0.0,4,1,3,413,8
C999993823664,65,3,1222.9299999999998,407.64333333333326,3,0.0,2,1,1,211,4
C999993823675,7,6,4533.13,755.5216666666666,6,0.0,4,1,3,413,8
C999993823722,42,6,4900.43,816.7383333333333,5,0.0,3,1,3,313,7
C999993823733,137,3,824.55,274.84999999999997,3,0.0,1,1,1,111,3
C999993823799,98,3,1179.6200000000001,393.2066666666667,3,1.0,2,1,1,211,4
C999993823846,103,9,4017.27,446.36333333333334,7,3.0,2,2,3,223,7
C999993823891,126,6,4881.35,813.5583333333334,5,0.0,1,1,3,113,5
C999993823926,368,3,2188.01,729.3366666666667,3,1.0,1,1,1,111,3
C999993823948,56,15,7536.15,502.40999999999997,13,2.0,2,3,4,234,9
C999993823971,13,18,9190.32,510.5733333333333,15,0.0,4,4,4,444,12
C999993824023,131,6,4104.6,684.1,6,0.0,1,1,3,113,5
C999993824045,2,6,3745.29,624.215,6,1.0,4,1,3,413,8
C999993824067,39,12,4154.11,346.1758333333333,9,1.0,3,3,3,333,9
C999993824078,31,15,6579.86,438.6573333333333,11,1.0,3,3,4,334,10
C999993824103,103,3,2173.15,724.3833333333333,3,0.0,2,1,1,211,4
C999993824125,8,20,12085.2,604.26,18,3.0,4,4,4,444,12
C999993824147,25,6,993.23,165.53833333333333,5,0.0,3,1,1,311,5
C999993824158,12,9,4094.66,454.9622222222222,8,2.0,4,2,3,423,9
C999993824169,102,20,12402.55,620.1274999999999,17,3.0,2,4,4,244,10
C999993824205,74,12,7235.59,602.9658333333333,11,1.0,2,3,4,234,9
C999993824227,24,18,11115.140000000001,617.5077777777778,14,2.0,3,4,4,344,11
C999993824238,101,6,4702.57,783.7616666666667,6,1.0,2,1,3,213,6
C999993824272,26,6,4141.599999999999,690.2666666666665,5,1.0,3,1,3,313,7
C999993824410,126,6,2677.66,446.27666666666664,6,2.0,1,1,2,112,4
C999993824432,78,9,3489.45,387.71666666666664,7,2.0,2,2,2,222,6
C999993824443,27,20,12600.89,630.0445,12,3.0,3,4,4,344,11
C999993824465,128,6,2122.36,353.7266666666667,5,0.0,1,1,1,111,3
C999993824476,12,15,8698.039999999999,579.8693333333333,15,1.0,4,3,4,434,11
C999993824512,56,6,3485.17,580.8616666666667,5,0.0,2,1,2,212,5
C999993824523,80,6,6440.05,1073.3416666666667,4,1.0,2,1,4,214,7
C999993824534,307,6,3053.4700000000003,508.9116666666667,6,1.0,1,1,2,112,4
C999993824567,44,6,4850.5,808.4166666666666,6,0.0,3,1,3,313,7
C999993824578,89,6,3753.83,625.6383333333333,6,0.0,2,1,3,213,6
C999993824589,1,6,1616.5,269.4166666666667,5,1.0,4,1,1,411,6
C999993824590,38,6,4354.12,725.6866666666666,6,0.0,3,1,3,313,7
C999993824624,102,15,8259.83,550.6553333333334,12,1.0,2,3,4,234,9
C999993824635,77,6,4035.8199999999997,672.6366666666667,6,2.0,2,1,3,213,6
C999993824679,49,20,10648.96,532.448,17,0.0,3,4,4,344,11
C999993824680,17,6,2031.31,338.5516666666667,6,1.0,4,1,1,411,6
C999993824691,112,6,2559.02,426.50333333333333,6,1.0,2,1,2,212,5
C999993824748,17,15,6397.0599999999995,426.47066666666666,14,3.0,4,3,4,434,11
C999993824760,62,9,4878.56,542.0622222222223,9,2.0,2,2,3,223,7
C999993824806,276,3,2157.15,719.0500000000001,3,0.0,1,1,1,111,3
C999993824817,33,12,6386.48,532.2066666666666,12,0.0,3,3,4,334,10
C999993824839,89,6,1248.38,208.06333333333336,5,0.0,2,1,1,211,4
C999993824895,51,6,3676.44,612.74,6,1.0,3,1,3,313,7
C999993824908,80,9,3416.22,379.58,9,2.0,2,2,2,222,6
C999993824931,34,6,2512.61,418.7683333333334,5,2.0,3,1,2,312,6
C999993824986,200,6,3418.91,569.8183333333333,6,2.0,1,1,2,112,4
C999993825027,27,3,1722.8400000000001,574.2800000000001,3,0.0,3,1,1,311,5
C999993825049,150,3,1918.45,639.4833333333333,2,1.0,1,1,1,111,3
C999993825050,157,3,739.41,246.47,3,0.0,1,1,1,111,3
C999993825061,20,3,948.94,316.31333333333333,3,0.0,4,1,1,411,6
C999993825141,16,20,7161.27,358.06350000000003,16,6.0,4,4,4,444,12
C999993825174,19,9,5728.8,636.5333333333333,8,1.0,4,2,3,423,9
C999993825185,31,20,7377.4,368.87,16,4.0,3,4,4,344,11
C999993825196,167,3,1251.0700000000002,417.02333333333337,3,0.0,1,1,1,111,3
C999993825221,94,12,2887.73,240.64416666666668,10,1.0,2,3,2,232,7
C999993825243,17,18,6306.53,350.36277777777775,16,4.0,4,4,4,444,12
C999993825265,61,6,4048.11,674.6850000000001,6,0.0,2,1,3,213,6
C999993825276,6,6,1880.54,313.42333333333335,6,0.0,4,1,1,411,6
C999993825312,39,6,4177.4400000000005,696.2400000000001,6,1.0,3,1,3,313,7
C999993825334,84,6,2217.4300000000003,369.5716666666667,6,0.0,2,1,1,211,4
C999993825425,25,15,8565.0,571.0,14,1.0,3,3,4,334,10
C999993825458,34,6,2974.58,495.7633333333333,6,2.0,3,1,2,312,6
C999993825469,29,9,5890.2,654.4666666666667,8,2.0,3,2,3,323,8
C999993825470,28,20,8603.68,430.184,16,4.0,3,4,4,344,11
C999993825527,27,9,3184.34,353.8155555555556,7,1.0,3,2,2,322,7
C999993825594,4,6,3308.62,551.4366666666666,5,0.0,4,1,2,412,7
C999993825606,96,6,2926.25,487.7083333333333,6,2.0,2,1,2,212,5
C999993825617,133,12,5520.88,460.0733333333333,11,0.0,1,3,3,133,7
C999993825628,40,15,10312.48,687.4986666666666,12,1.0,3,3,4,334,10
C999993825695,40,6,3449.0099999999998,574.8349999999999,6,2.0,3,1,2,312,6
C999993825708,126,9,3349.8,372.20000000000005,9,2.0,1,2,2,122,5
C999993825720,160,3,2139.62,713.2066666666666,3,0.0,1,1,1,111,3
C999993825731,15,6,2071.38,345.23,5,0.0,4,1,1,411,6
C999993825742,52,15,7532.48,502.1653333333333,13,2.0,3,3,4,334,10
C999993825775,18,18,9686.82,538.1566666666666,15,2.0,4,4,4,444,12
C999993825800,2,6,2658.95,443.1583333333333,4,2.0,4,1,2,412,7
C999993825811,88,6,3825.56,637.5933333333334,6,1.0,2,1,3,213,6
C999993825833,94,6,3225.49,537.5816666666666,6,0.0,2,1,2,212,5
C999993825888,60,12,7047.08,587.2566666666667,11,0.0,2,3,4,234,9
C999993825902,3,6,2878.18,479.69666666666666,6,0.0,4,1,2,412,7
C999993825980,41,20,8795.27,439.7635,18,2.0,3,4,4,344,11
C999993825991,43,3,2403.93,801.31,3,0.0,3,1,2,312,6
C999993826008,8,6,2546.58,424.43,6,0.0,4,1,2,412,7
C999993826019,56,15,7996.36,533.0906666666666,14,1.0,2,3,4,234,9
C999993826086,303,3,690.87,230.29,3,2.0,1,1,1,111,3
C999993826097,189,3,1008.5699999999999,336.19,3,0.0,1,1,1,111,3
C999993826100,151,3,4686.77,1562.256666666667,3,1.0,1,1,3,113,5
C999993826122,196,3,1174.34,391.44666666666666,3,1.0,1,1,1,111,3
C999993826155,17,12,7903.43,658.6191666666667,10,0.0,4,3,4,434,11
C999993826177,81,6,2652.23,442.03833333333336,6,1.0,2,1,2,212,5
C999993826199,249,3,2381.73,793.91,3,0.0,1,1,2,112,4
C999993826202,19,15,4874.44,324.9626666666666,13,3.0,4,3,3,433,10
C999993826235,155,6,2970.1000000000004,495.0166666666667,6,1.0,1,1,2,112,4
C999993826246,26,9,3435.51,381.72333333333336,8,1.0,3,2,2,322,7
C999993826257,45,20,7304.589999999999,365.2295,16,2.0,3,4,4,344,11
C999993826268,0,3,994.0400000000001,331.3466666666667,3,0.0,4,1,1,411,6
C999993826280,0,15,8339.52,555.9680000000001,12,0.0,4,3,4,434,11
C999993826359,21,6,3877.62,646.27,6,0.0,4,1,3,413,8
C999993826360,9,6,3792.49,632.0816666666666,6,0.0,4,1,3,413,8
C999993826406,11,6,3447.35,574.5583333333333,5,0.0,4,1,2,412,7
C999993826428,5,15,7246.66,483.11066666666665,14,1.0,4,3,4,434,11
C999993826473,8,20,14604.2,730.21,18,1.0,4,4,4,444,12
C999993826484,225,6,2259.99,376.66499999999996,6,0.0,1,1,1,111,3
C999993826495,11,6,5864.05,977.3416666666667,6,0.0,4,1,3,413,8
C999993826508,57,9,4098.24,455.35999999999996,9,0.0,2,2,3,223,7
C999993826519,109,20,8574.31,428.71549999999996,17,3.0,2,4,4,244,10
C999993826520,106,3,835.63,278.54333333333335,3,1.0,2,1,1,211,4
C999993826531,68,6,3570.69,595.115,6,0.0,2,1,2,212,5
C999993826553,107,12,7278.04,606.5033333333333,12,0.0,2,3,4,234,9
C999993826575,7,18,5898.54,327.69666666666666,16,4.0,4,4,4,444,12
C999993826609,55,6,2823.6600000000003,470.61000000000007,6,0.0,2,1,2,212,5
C999993826610,35,6,2856.2200000000003,476.0366666666667,6,0.0,3,1,2,312,6
