客户ID,客户姓名,性别,年龄,婚姻状态,城市,教育程度,会员等级,个人年收入,工作年限,注册日期,Recency,Frequency,Monetary,平均订单金额,产品多样性,活动参与次数,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,客户生命周期
C999993816737,anon_S1636,男,44,已婚,吉林,本科,D-风险客户,25650,21,2023-07-17,159,12,3647.52,303.96,9,3.0,1,3,2,132,6,440
C999993802043,anon_S203,男,52,已婚,广东,大专,D-风险客户,11230,32,2023-07-21,20,6,2420.99,403.4983333333333,6,1.0,4,1,2,412,7,436
C999993840839,anon_S4045,男,34,未婚,北京,本科,D-风险客户,56000,11,2022-09-01,306,3,2056.0299999999997,685.3433333333332,3,1.0,1,1,1,111,3,759
C999993840884,anon_S4050,女,33,已婚,浙江,本科,D-风险客户,56000,10,2023-05-20,90,6,2342.01,390.33500000000004,6,1.0,2,1,1,211,4,498
C999993816501,anon_S1613,男,50,未婚,江苏,本科,D-风险客户,25575,27,2022-05-11,164,6,1706.61,284.435,6,2.0,1,1,1,111,3,872
C999993841107,anon_S4072,女,34,已婚,河北,本科,D-风险客户,56000,11,2023-04-30,162,6,3788.9500000000003,631.4916666666667,6,0.0,1,1,3,113,5,518
C999993847392,anon_S4698,男,33,已婚,宁夏,本科,D-风险客户,68000,10,2023-10-09,5,6,2757.51,459.58500000000004,6,0.0,4,1,2,412,7,356
C999993846569,anon_S4616,男,38,未婚,北京,硕士及以上,D-风险客户,67000,13,2022-01-21,10,9,3042.55,338.06111111111113,8,3.0,4,2,2,422,8,982
C999993841196,anon_S4081,女,33,已婚,黑龙江,本科,D-风险客户,56000,10,2022-06-16,247,6,1441.8899999999999,240.31499999999997,5,1.0,1,1,1,111,3,836
C999993841209,anon_S4082,男,34,离异,上海,本科,D-风险客户,56000,11,2022-10-01,81,9,3834.7200000000003,426.08000000000004,9,1.0,2,2,3,223,7,729
C999993804834,anon_S446,女,47,未婚,河北,本科,D-风险客户,14000,24,2023-01-23,183,3,1043.53,347.8433333333333,3,0.0,1,1,1,111,3,615
C999993804812,anon_S444,女,47,未婚,北京,本科,D-风险客户,13984,24,2023-08-24,33,3,1464.37,488.1233333333333,3,1.0,3,1,1,311,5,402
C999993804696,anon_S432,男,47,未婚,海南,本科,D-风险客户,13944,24,2022-11-12,202,6,2244.54,374.09,6,2.0,1,1,1,111,3,687
C999993841583,anon_S4120,男,33,未婚,江西,本科,D-风险客户,56789,10,2022-01-14,202,9,4879.05,542.1166666666667,8,1.0,1,2,3,123,6,989
C999993847416,anon_S4700,男,35,已婚,广西,本科,D-风险客户,68000,12,2022-08-30,26,20,13427.16,671.358,17,0.0,3,4,4,344,11,761
C999993847427,anon_S4701,女,29,已婚,宁夏,大专,D-风险客户,68000,9,2022-12-12,34,3,1409.87,469.95666666666665,3,1.0,3,1,1,311,5,657
C999993804685,anon_S431,男,47,未婚,河北,本科,D-风险客户,13944,24,2023-07-19,38,20,10277.42,513.871,16,3.0,3,4,4,344,11,438
C999993841662,anon_S4128,女,33,未婚,山东,本科,D-风险客户,57483,10,2022-12-06,60,3,599.35,199.78333333333333,2,0.0,2,1,1,211,4,663
C999993801550,anon_S154,男,59,已婚,山东,大专,D-风险客户,10860,39,2022-04-02,87,20,11629.22,581.461,18,6.0,2,4,4,244,10,911
C999993841822,anon_S4143,男,31,未婚,内蒙古,大专,D-风险客户,57600,11,2023-01-02,332,3,1916.98,638.9933333333333,3,1.0,1,1,1,111,3,636
C999993864259,anon_S6367,男,20,未婚,广东,高中,D-风险客户,155060,2,2023-03-31,35,6,4353.48,725.5799999999999,6,0.0,3,1,3,313,7,548
C999993801345,anon_S133,男,42,未婚,黑龙江,大专,D-风险客户,10810,22,2023-03-04,115,6,2828.71,471.45166666666665,6,1.0,2,1,2,212,5,575
C999993816498,anon_S1612,男,29,未婚,青海,硕士及以上,D-风险客户,25575,4,2023-05-24,143,6,3286.1400000000003,547.69,5,0.0,1,1,2,112,4,494
C999993818101,anon_S1773,女,45,未婚,北京,本科,D-风险客户,27612,22,2022-02-04,14,15,6049.0599999999995,403.2706666666666,11,2.0,4,3,4,434,11,968
C999993806784,anon_S641,男,44,未婚,海南,本科,D-风险客户,17000,21,2022-07-25,2,18,9642.72,535.7066666666666,15,1.0,4,4,4,444,12,797
C999993806751,anon_S638,女,51,已婚,宁夏,本科,D-风险客户,17000,28,2022-03-22,198,3,718.31,239.43666666666664,2,0.0,1,1,1,111,3,922
C999993822559,anon_S2218,男,34,已婚,贵州,本科,D-风险客户,33600,11,2023-07-16,82,6,1631.03,271.8383333333333,6,1.0,2,1,1,211,4,441
C999993801038,anon_S102,男,48,已婚,北京,本科,D-风险客户,10634,25,2023-01-23,50,6,2789.32,464.8866666666667,5,0.0,3,1,2,312,6,615
C999993822741,anon_S2237,男,21,已婚,青海,本科,D-风险客户,34000,0,2022-01-02,235,6,4071.69,678.615,6,2.0,1,1,3,113,5,1001
C999993804324,anon_S395,男,32,未婚,甘肃,硕士及以上,D-风险客户,13720,7,2023-01-25,60,6,2490.52,415.08666666666664,6,1.0,2,1,2,212,5,613
C999993842474,anon_S4207,男,32,未婚,黑龙江,大专,D-风险客户,59625,12,2023-07-20,18,15,8108.75,540.5833333333334,14,2.0,4,3,4,434,11,437
C999993842521,anon_S4212,男,32,未婚,北京,本科,D-风险客户,59685,9,2022-04-16,11,20,10730.78,536.539,16,1.0,4,4,4,444,12,897
C999993842532,anon_S4213,男,34,未婚,甘肃,本科,D-风险客户,59685,11,2023-04-22,80,3,1063.99,354.66333333333336,3,1.0,2,1,1,211,4,526
C999993842543,anon_S4214,女,34,未婚,天津,本科,D-风险客户,59685,11,2023-12-04,90,6,5856.36,976.06,6,2.0,2,1,3,213,6,300
C999993823096,anon_S2272,男,33,已婚,山东,本科,D-风险客户,34461,10,2023-02-06,65,6,2957.76,492.96000000000004,6,0.0,2,1,2,212,5,601
C999993842757,anon_S4235,男,31,未婚,天津,大专,D-风险客户,60000,11,2023-12-31,137,6,3737.92,622.9866666666667,5,0.0,1,1,3,113,5,273
C999993836775,anon_S3639,女,32,未婚,贵州,本科,D-风险客户,49400,9,2023-07-10,246,3,2103.2,701.0666666666666,3,0.0,1,1,1,111,3,447
C999993847483,anon_S4707,男,34,未婚,河南,本科,D-风险客户,68200,11,2022-06-11,20,6,3015.23,502.53833333333336,6,0.0,4,1,2,412,7,841
C999993842906,anon_S4250,女,32,未婚,湖北,大专,D-风险客户,60000,12,2022-07-21,253,6,2723.46,453.91,6,0.0,1,1,2,112,4,801
C999993842951,anon_S4255,男,30,未婚,西藏,大专,D-风险客户,60000,10,2022-09-27,23,6,1738.0,289.6666666666667,5,0.0,3,1,1,311,5,733
C999993842973,anon_S4257,男,30,未婚,新疆,大专,D-风险客户,60000,10,2022-09-28,42,6,2662.37,443.7283333333333,6,1.0,3,1,2,312,6,732
C999993823303,anon_S2293,男,32,未婚,辽宁,本科,D-风险客户,34776,9,2023-04-01,109,6,2759.92,459.9866666666667,5,0.0,2,1,2,212,5,547
C999993823347,anon_S2297,男,33,未婚,湖南,本科,D-风险客户,34779,10,2023-04-07,28,9,2920.9,324.5444444444445,9,1.0,3,2,2,322,7,541
C999993843182,anon_S4278,男,32,未婚,湖北,大专,D-风险客户,60000,12,2023-12-28,21,6,3430.67,571.7783333333333,6,0.0,4,1,2,412,7,276
C999993843206,anon_S4280,男,31,未婚,河北,大专,D-风险客户,60000,11,2022-09-09,108,6,4862.89,810.4816666666667,6,0.0,2,1,3,213,6,751
C999993846717,anon_S4631,男,32,未婚,上海,大专,D-风险客户,67400,12,2023-12-03,58,6,2104.34,350.72333333333336,6,1.0,2,1,1,211,4,301
C999993804119,anon_S374,女,46,已婚,重庆,本科,D-风险客户,13550,23,2022-10-23,36,12,6049.2,504.09999999999997,12,0.0,3,3,4,334,10,707
C999993836844,anon_S3646,男,32,已婚,黑龙江,本科,D-风险客户,49400,9,2023-12-26,40,15,5184.0,345.6,10,1.0,3,3,3,333,9,278
C999993846739,anon_S4633,男,35,未婚,重庆,本科,D-风险客户,67400,12,2023-12-21,163,6,3635.57,605.9283333333334,6,1.0,1,1,2,112,4,283
C999993803910,anon_S289,女,51,已婚,北京,本科,D-风险客户,13380,28,2022-12-04,9,9,5106.57,567.3966666666666,9,1.0,4,2,3,423,9,665
C999993826008,anon_S2563,男,34,已婚,广西,本科,D-风险客户,37919,11,2022-02-22,8,6,2546.58,424.43,6,0.0,4,1,2,412,7,950
C999993853032,anon_S5252,男,32,未婚,海南,大专,D-风险客户,78000,12,2022-08-05,178,6,2152.15,358.69166666666666,6,0.0,1,1,1,111,3,786
C999993826531,anon_S2616,女,34,未婚,新疆,本科,D-风险客户,38344,11,2022-07-07,68,6,3570.69,595.115,6,0.0,2,1,2,212,5,815
C999993816329,anon_S1595,男,66,未婚,湖南,本科,D-风险客户,25500,43,2023-01-15,12,12,7692.59,641.0491666666667,10,1.0,4,3,4,434,11,623
C999993826553,anon_S2618,女,35,未婚,新疆,本科,D-风险客户,38344,12,2023-05-08,107,12,7278.04,606.5033333333333,12,0.0,2,3,4,234,9,510
C999993853190,anon_S5268,女,32,未婚,陕西,本科,D-风险客户,78160,9,2022-02-10,40,12,6728.96,560.7466666666667,10,1.0,3,3,4,334,10,962
C999993853214,anon_S5270,男,32,未婚,山西,大专,D-风险客户,78400,12,2022-06-06,5,18,9049.57,502.75388888888887,14,5.0,4,4,4,444,12,846
C999993808409,anon_S803,女,70,未婚,安徽,本科,D-风险客户,18760,47,2022-01-15,32,20,9017.33,450.8665,15,2.0,3,4,4,344,11,988
C999993826723,anon_S2635,男,33,已婚,青海,本科,D-风险客户,38396,10,2022-03-06,35,15,11774.17,784.9446666666666,14,2.0,3,3,4,334,10,938
C999993814887,anon_S1451,女,56,未婚,四川,大专,D-风险客户,24190,36,2023-06-05,3,12,6008.84,500.7366666666667,11,2.0,4,3,4,434,11,482
C999993820324,anon_S1995,女,35,已婚,安徽,本科,D-风险客户,30650,12,2022-12-10,11,12,9503.84,791.9866666666667,10,1.0,4,3,4,434,11,659
C999993853350,anon_S5284,男,32,未婚,青海,本科,D-风险客户,78410,9,2022-05-09,353,3,1045.02,348.34,3,0.0,1,1,1,111,3,874
C999993853383,anon_S5287,女,33,已婚,河南,本科,D-风险客户,78410,10,2023-10-10,9,6,1869.97,311.6616666666667,5,0.0,4,1,1,411,6,355
C999993827057,anon_S2668,女,33,已婚,海南,本科,D-风险客户,38645,10,2023-04-17,109,20,10755.91,537.7955,18,2.0,2,4,4,244,10,531
C999993814763,anon_S1439,女,56,离异,福建,本科,D-风险客户,24113,33,2022-03-04,56,6,5656.43,942.7383333333333,6,0.0,2,1,3,213,6,940
C999993814661,anon_S1429,女,51,已婚,重庆,本科,D-风险客户,24108,28,2022-05-19,281,6,1958.52,326.42,5,2.0,1,1,1,111,3,864
C999993827375,anon_S2700,女,33,已婚,四川,本科,D-风险客户,38750,10,2023-05-14,71,9,4780.49,531.1655555555556,9,1.0,2,2,3,223,7,504
C999993858789,anon_S5824,男,20,离异,广西,高中,D-风险客户,105000,2,2023-08-16,372,3,2050.48,683.4933333333333,3,0.0,1,1,1,111,3,410
C999993851636,anon_S5114,女,39,未婚,北京,硕士及以上,D-风险客户,75600,14,2023-01-27,32,9,2133.19,237.0211111111111,9,1.0,3,2,1,321,6,611
C999993841163,anon_S4078,男,34,已婚,北京,本科,D-风险客户,56000,11,2023-11-06,293,6,2969.59,494.9316666666667,6,3.0,1,1,2,112,4,328
C999993814560,anon_S1419,男,45,离异,浙江,本科,D-风险客户,23980,22,2023-02-23,105,3,1535.96,511.9866666666667,3,0.0,2,1,1,211,4,584
C999993827829,anon_S2745,女,34,已婚,上海,本科,D-风险客户,38985,11,2022-10-16,32,9,3455.64,383.96,9,4.0,3,2,2,322,7,714
C999993827830,anon_S2746,男,35,已婚,广西,本科,D-风险客户,38985,12,2023-01-14,11,20,8964.81,448.2405,16,4.0,4,4,4,444,12,624
C999993827976,anon_S2760,男,34,未婚,广西,本科,D-风险客户,39162,11,2023-05-05,60,12,6944.12,578.6766666666666,11,0.0,2,3,4,234,9,513
C999993828120,anon_S2775,女,34,已婚,海南,本科,D-风险客户,39198,11,2022-08-19,148,9,4827.1900000000005,536.3544444444445,8,3.0,1,2,3,123,6,772
C999993817708,anon_S1733,男,29,未婚,江西,硕士及以上,D-风险客户,27396,4,2022-02-10,1,20,10364.369999999999,518.2185,18,3.0,4,4,4,444,12,962
C999993814479,anon_S1410,女,31,未婚,甘肃,硕士及以上,D-风险客户,23916,6,2022-01-28,149,6,2085.07,347.5116666666667,6,1.0,1,1,1,111,3,975
C999993811558,anon_S1118,女,45,已婚,天津,本科,D-风险客户,21590,22,2022-05-15,37,6,2870.55,478.425,6,1.0,3,1,2,312,6,868
C999993844119,anon_S4371,女,30,未婚,贵州,大专,D-风险客户,62246,10,2022-07-20,12,6,4153.62,692.27,6,0.0,4,1,3,413,8,802
C999993819160,anon_S1879,女,48,未婚,湖南,本科,D-风险客户,29200,25,2022-02-02,146,9,4601.68,511.2977777777778,9,2.0,1,2,3,123,6,970
C999993844233,anon_S4383,女,30,已婚,安徽,大专,D-风险客户,62900,10,2022-02-17,100,15,9633.25,642.2166666666667,14,3.0,2,3,4,234,9,955
C999993844255,anon_S4385,男,31,未婚,山东,大专,D-风险客户,63000,11,2023-05-18,102,6,3987.27,664.545,6,1.0,2,1,3,213,6,500
C999993847529,anon_S4711,男,30,未婚,陕西,大专,D-风险客户,68520,10,2023-02-11,261,6,4415.8,735.9666666666667,5,0.0,1,1,3,113,5,596
C999993828506,anon_S2813,男,32,已婚,重庆,本科,D-风险客户,39364,9,2023-07-28,397,3,975.62,325.20666666666665,3,1.0,1,1,1,111,3,429
C999993828674,anon_S2830,女,33,已婚,海南,本科,D-风险客户,39416,10,2023-12-29,33,9,5045.74,560.6377777777777,9,1.0,3,2,3,323,8,275
C999993806445,anon_S607,女,42,已婚,上海,大专,D-风险客户,15675,22,2022-04-09,118,6,1979.5,329.9166666666667,6,2.0,1,1,1,111,3,904
C999993853779,anon_S5326,男,33,未婚,北京,本科,D-风险客户,79900,10,2023-11-15,70,6,2814.65,469.10833333333335,5,0.0,2,1,2,212,5,319
C999993828754,anon_S2838,男,32,未婚,陕西,本科,D-风险客户,39461,9,2023-12-27,75,9,3745.83,416.2033333333333,7,1.0,2,2,3,223,7,277
C999993828992,anon_S2862,女,34,未婚,安徽,本科,D-风险客户,39553,11,2023-07-01,144,6,2888.54,481.42333333333335,6,0.0,1,1,2,112,4,456
C999993814311,anon_S1394,男,64,未婚,天津,大专,D-风险客户,23765,44,2023-09-05,26,15,7987.48,532.4986666666666,13,2.0,3,3,4,334,10,390
C999993854014,anon_S5350,男,31,未婚,北京,大专,D-风险客户,80000,11,2023-04-07,153,6,3135.39,522.5649999999999,6,1.0,1,1,2,112,4,541
C999993854047,anon_S5353,男,32,未婚,重庆,大专,D-风险客户,80000,12,2023-10-05,158,6,5574.13,929.0216666666666,6,2.0,1,1,3,113,5,360
C999993814059,anon_S1368,男,48,未婚,陕西,大专,D-风险客户,23476,28,2022-01-05,10,6,4093.57,682.2616666666667,6,1.0,4,1,3,413,8,998
C999993829532,anon_S2916,男,39,未婚,上海,硕士及以上,D-风险客户,39872,14,2022-08-06,75,9,5412.43,601.3811111111112,7,2.0,2,2,3,223,7,785
C999993811706,anon_S1133,女,54,未婚,湖北,本科,D-风险客户,21681,31,2023-05-18,218,6,3239.0299999999997,539.8383333333333,5,0.0,1,1,2,112,4,500
C999993814004,anon_S1363,女,68,已婚,广西,本科,D-风险客户,23460,45,2023-02-02,37,6,5695.35,949.225,6,2.0,3,1,3,313,7,605
C999993813850,anon_S1348,女,31,已婚,湖北,硕士及以上,D-风险客户,23420,6,2023-01-28,48,12,4089.9900000000002,340.83250000000004,10,0.0,3,3,3,333,9,610
C999993829973,anon_S2960,男,32,已婚,浙江,本科,D-风险客户,40013,9,2022-07-26,46,12,6277.900000000001,523.1583333333334,11,3.0,3,3,4,334,10,796
C999993824023,anon_S2365,男,32,未婚,湖南,本科,D-风险客户,36159,9,2022-01-15,131,6,4104.6,684.1,6,0.0,1,1,3,113,5,988
C999993846773,anon_S4637,男,31,未婚,浙江,大专,D-风险客户,67400,11,2023-07-08,196,12,7767.68,647.3066666666667,10,2.0,1,3,4,134,8,449
C999993809344,anon_S897,男,32,已婚,湖南,硕士及以上,D-风险客户,19360,7,2023-04-06,77,9,4829.07,536.5633333333333,9,1.0,2,2,3,223,7,542
C999993824067,anon_S2369,女,32,未婚,广西,本科,D-风险客户,36275,9,2023-11-22,39,12,4154.11,346.1758333333333,9,1.0,3,3,3,333,9,312
C999993829995,anon_S2962,男,35,未婚,内蒙古,本科,D-风险客户,40013,12,2023-07-29,4,18,10281.61,571.2005555555556,15,3.0,4,4,4,444,12,428
C999993830070,anon_S2970,男,32,已婚,广西,本科,D-风险客户,40017,9,2022-08-29,7,6,3938.2,656.3666666666667,5,1.0,4,1,3,413,8,762
C999993830309,anon_S2993,女,38,未婚,安徽,硕士及以上,D-风险客户,41038,13,2023-07-18,121,6,2483.3199999999997,413.8866666666666,6,1.0,1,1,2,112,4,439
C999993813497,anon_S1312,男,59,已婚,天津,本科,D-风险客户,23000,36,2022-04-06,31,20,10259.86,512.993,17,4.0,3,4,4,344,11,907
C999993824103,anon_S2373,男,33,已婚,安徽,本科,D-风险客户,36275,10,2023-04-30,103,3,2173.15,724.3833333333333,3,0.0,2,1,1,211,4,518
C999993830659,anon_S3028,女,38,已婚,西藏,硕士及以上,D-风险客户,42160,13,2023-02-11,47,6,2042.09,340.3483333333333,6,2.0,3,1,1,311,5,596
C999993844765,anon_S4436,男,32,未婚,北京,大专,D-风险客户,63600,12,2022-08-19,1,15,6900.46,460.03066666666666,11,0.0,4,3,4,434,11,772
C999993844776,anon_S4437,男,31,未婚,北京,大专,D-风险客户,63600,11,2023-10-17,26,20,13864.67,693.2335,15,2.0,3,4,4,344,11,348
C999993844787,anon_S4438,男,31,未婚,广西,大专,D-风险客户,63600,11,2022-06-20,29,6,2287.32,381.22,5,2.0,3,1,1,311,5,832
C999993844798,anon_S4439,男,32,未婚,河南,大专,D-风险客户,63600,12,2023-06-25,304,6,4094.38,682.3966666666666,5,0.0,1,1,3,113,5,462
C999993844878,anon_S4447,男,30,未婚,北京,大专,D-风险客户,63600,10,2022-02-05,156,18,9588.77,532.7094444444444,16,1.0,1,4,4,144,9,967
C999993813486,anon_S1311,女,46,已婚,重庆,本科,D-风险客户,23000,23,2023-06-09,44,15,7708.08,513.872,10,1.0,3,3,4,334,10,478
C999993844890,anon_S4449,男,30,未婚,北京,大专,D-风险客户,63600,10,2022-06-09,256,3,814.98,271.66,3,0.0,1,1,1,111,3,843
C999993844903,anon_S4450,男,30,未婚,福建,大专,D-风险客户,63600,10,2023-11-30,15,3,951.74,317.24666666666667,3,0.0,4,1,1,411,6,304
C999993813408,anon_S1303,女,29,未婚,宁夏,硕士及以上,D-风险客户,22975,4,2022-08-31,89,6,3171.3999999999996,528.5666666666666,6,1.0,2,1,2,212,5,760
C999993813395,anon_S1302,男,29,未婚,天津,硕士及以上,D-风险客户,22975,4,2022-03-27,127,6,3393.14,565.5233333333333,6,0.0,1,1,2,112,4,917
C999993813328,anon_S1295,女,45,已婚,上海,本科,D-风险客户,22599,22,2023-08-01,0,12,4440.1900000000005,370.0158333333334,11,2.0,4,3,3,433,10,425
C999993844981,anon_S4458,男,32,未婚,广西,本科,D-风险客户,64100,9,2023-11-13,18,15,9106.810000000001,607.1206666666668,13,0.0,4,3,4,434,11,321
C999993845033,anon_S4463,男,30,未婚,上海,大专,D-风险客户,64100,10,2023-07-11,30,20,14073.28,703.664,19,3.0,3,4,4,344,11,446
C999993849106,anon_S4868,男,38,已婚,山西,硕士及以上,D-风险客户,70072,13,2023-07-28,38,6,3304.67,550.7783333333333,6,1.0,3,1,2,312,6,429
C999993848975,anon_S4855,男,33,已婚,陕西,本科,D-风险客户,70056,10,2023-10-08,8,6,3607.82,601.3033333333334,6,1.0,4,1,2,412,7,357
C999993813180,anon_S1281,女,60,已婚,北京,本科,D-风险客户,22297,37,2022-01-28,54,12,6466.2,538.85,12,1.0,2,3,4,234,9,975
C999993848737,anon_S4831,男,29,未婚,山西,初中及以下,D-风险客户,70000,29,2023-09-12,5,20,11458.98,572.949,16,0.0,4,4,4,444,12,383
C999993848668,anon_S4824,男,45,已婚,湖北,初中及以下,D-风险客户,69935,17,2023-07-10,129,9,4927.969999999999,547.5522222222221,9,2.0,1,2,3,123,6,447
C999993812631,anon_S1226,女,47,已婚,广西,大专,D-风险客户,22058,27,2022-12-06,35,6,3252.25,542.0416666666666,6,1.0,3,1,2,312,6,663
C999993848590,anon_S4817,女,34,未婚,浙江,本科,D-风险客户,69560,11,2022-11-27,135,3,1552.57,517.5233333333333,3,0.0,1,1,1,111,3,672
